"","car_park_no","address","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","longtitude","latitude"
"488","CK49","BLK 610A CHOA CHU KANG STREET 62","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",9,2,"N",103.743523056746,1.3987826049446
"489","CK5","BLK 139 & 140 TECK WHYE LANE/AVENUE","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.752720024642,1.38017962306699
"490","CK50","BLK 611A CHOA CHU KANG STREET 62","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",9,2,"N",103.743746424445,1.40042858394439
"491","CK51","BLK 621A CHOA CHU KANG NORTH 7","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",10,2,"N",103.747590486491,1.39964403722313
"492","CK52","BLK 659A/660A/661A CHOA CHU KANG CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,2.15,"N",103.750236357297,1.40065903012873
"493","CK53","BLK 668A CHOA CHU KANG CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.750186309811,1.40155438849802
"494","CK54","BLK 638-643 CHOA CHU KANG STREET 64","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"Y",103.749116700295,1.39813684066122
"495","CK55","BLK 631-637 & 636A CHOA CHU KANG NORTH 6","COVERED CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,2.15,"N",103.748508995926,1.3971123380651
"496","CK56","BLK 675A CHOA CHU KANG CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",9,2,"N",103.746670713405,1.40119604658903
"497","CK57","BLK 669A CHOA CHU KANG CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.74832374074,1.40223935360943
"498","CK58","BLK 678A CHOA CHU KANG CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.744879077826,1.40188001041078
"499","CK59","BLK 297A CHOA CHU KANG AVENUE 2","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2.15,"N",103.742038134687,1.3768119174005
"500","CK6","BLK 143, 144 & 146 TECK WHYE LANE","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,0,"N",103.75310558123,1.38073269776226
"501","CK6A","BLK 146A 146A TECK WHYE AVENUE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",5,2.15,"N",103.75313692681,1.38103539194019
"502","CK60","BLK 683 CHOA CHU KANG CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.745873826471,1.40429443397875
"503","CK61","BLK 686 CHOA CHU KANG CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.748917565863,1.40408941986099
"504","CK62","BLK 687 CHOA CHU KANG DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.749889943228,1.40383948632484
"505","CK63","BLK 689 CHOA CHU KANG CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.750884316164,1.40286350152128
"506","CK64","BLK 692 CHOA CHU KANG CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.75130299875,1.39976283413898
"507","CK65","BLK 535,536 AND 537 CHOA CHU KANG STREET 51","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,4.5,"N",103.744035897854,1.39201946089182
"508","CK66","BLK 573A CHOA CHU KANG STREET 52","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",4,2.15,"N",103.745559052144,1.39402058807221
"509","CK7","BLK 135A TECK WHYE LANE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,1.8,"N",103.751960499351,1.38028225945617
"510","CK70","BLK 476 CHOA CHU KANG AVENUE 5","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","NO","NO","YES",8,2.15,"N",103.738146490105,1.37693325727702
"511","CK71","BLK 488 CHOA CHU KANG AVENUE 5","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",7,2.15,"N",103.738680846275,1.37668780291728
"512","CK72","BLK 489 CHOA CHU KANG AVENUE 5","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",16,2.15,"N",103.740930494573,1.37555881252417
"513","CK73","BLK 801 KEAT HONG CLOSE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",14,2.15,"N",103.743412792998,1.3752829189297
"514","CK74","BLK 805 KEAT HONG CLOSE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,2.15,"N",103.74323849875,1.37329719134091
"515","CK75","BLK 809 CHOA CHU KANG AVENUE 1","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2.15,"N",103.744534225576,1.37498244130186
"516","CK76","BLK 810 CHOA CHU KANG AVENUE 7","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",7,2.15,"N",103.746206737981,1.37404045168071
"517","CK77","BLK 815 CHOA CHU KANG AVENUE 7","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,2.15,"N",103.746713680249,1.37655723164178
"518","CK78","817 KEAT HONG LINK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",7,2.15,"N",103.749399425536,1.37698774822613
"519","CK79","BLK 819 KEAT HONG LINK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,2.15,"N",103.749711852971,1.3751237101176
"520","CK8","BLK 201-221 CHOA CHU KANG CENTRAL","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.747105661126,1.38208607931358
"521","CK8A","BLK 203A CHOA CHU KANG AVENUE 1/CENTRAL","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.748978599287,1.38121860673947
"522","CK9","BLK 223-227 CHOA CHU KANG CENTRAL","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,4.5,"N",103.744917810055,1.38149597378862
"523","CK9A","BLK 228-239 CHOA CHU KANG CENTRAL","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.74750330142,1.37998858619267
"524","CLM","BLK 129A CLARENCE LANE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.814400630046,1.29248301199208
"525","CLNA","BLK 210 CLEMENTI AVENUE 6","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"N",103.763053698936,1.32241472367259
"526","CLRG","312 CLEMENTI AVENUE 4","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.76398569522,1.31904941179273
"527","CLTR","BLK 311 CLEMENTI AVENUE 4","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.1,"N",103.765132832866,1.31935999958592
"528","CM1","BLK 10 CANTONMENT CLOSE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.83921657284,1.27445807410158
"529","CR1","BLK 1/3/15/17 BEACH ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,4.5,"N",103.863307722527,1.30327083630096
"530","CR1A","BLK 2 BEACH ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,4.5,"N",103.864958513285,1.30369835708323
"531","CR1B","BLK 3 BEACH ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,4.5,"N",103.865358707559,1.30403607430399
"532","CR2","BLK 3/4 BEACH ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.865658220172,1.30468354035789
"533","CR29","BLK 29/30 KELANTAN LANE","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.856793259819,1.30578378262145
"534","CR3","BLK 9 NORTH BRIDGE ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,4.5,"N",103.864324795306,1.30506865379078
"535","CR30","BLK 639/640 ROWELL COURT","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,4.5,"N",103.854941024047,1.30760017873
"536","CR31","BLK 632/633/635 VEERASAMY ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,4.5,"N",103.854698193613,1.30624974548364
"537","CR4","BLK 7 NORTH BRIDGE ROAD","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.863437208667,1.30435203072103
"538","CR5","BLK 18/19 JALAN SULTAN","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES",0,0,"N",103.86223821601,1.30323592683919
"539","CR7","BLK 464/463 CRAWFORD LANE","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.862339328753,1.30553397956246
"540","CSM","BLK 54 CHIN SWEE ROAD MSCP","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,1.9,"N",103.841165206315,1.28743807416102
"541","CTM1","BLK 441 COMMONWEALTH AVENUE WEST","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.764072923184,1.31474466503458
"542","CVBK","BLK 8C BOON KENG ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",6,2.15,"N",103.861027597963,1.31651643285494
"543","CV1","BLK 1/1A TELOK PAKU ROAD","MECHANISED AND SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,3.8,"N",103.988178003273,1.388329162828
"544","CV2","BLK 3 CHANGI VILLAGE ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,0,"N",103.987988947651,1.38990248276678
"545","CV3","BLK 5 CHANGI VILLAGE ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,3.8,"N",103.986486857746,1.3899831182202
"546","CV4","BLK 6 CHANGI VILLAGE ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,0,"N",103.98845411052,1.39017109967947
"547","CY","BLK 269/269A/269B CHENG YAN COURT CAR PARK","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,0,"N",103.853664871383,1.30062602811306
"548","C10","BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.768962945216,1.31846320732282
"549","C11","BLK 321-322,324-326 CLEMENTI AVENUE 5","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,4.3,"N",103.766130811459,1.31480083289675
"550","C12","BLK 301-302,305-308 CLEMENTI AVENUE 4","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.766106072935,1.32178984437935
"551","C13M","BLK 309A CLEMENTI AVENUE 4","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",7,2.15,"N",103.766179840158,1.32056337141105
"552","C14M","BLK 318A CLEMENTI AVENUE 4","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"N",103.7651854606,1.31739237532048
"553","C15M","BLK 440 CLEMENTI AVENUE 3","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",6,2.15,"N",103.764046428245,1.31625418622134
"554","C16","BLK 430-435 CLEMENTI AVENUE 3","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,3.5,"N",103.762481571671,1.31431392669284
"555","C17","BLK 442-444,442A CLEMENTI AVENUE 3","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,0,"N",103.763896569583,1.31385772949926
"556","C18","BLK 426/428 CLEMENTI AVENUE 3","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,4.5,"N",103.763374420869,1.31227166290931
"557","C18A","BLK 426/427 CLEMENTI AVENUE 3","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO",0,0,"N",103.764186978243,1.31175608147154
"558","C19M","BLK 445 CLEMENTI AVENUE 3","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",14,2.15,"N",103.763854607518,1.31336300864069
"559","C2M","BLK 463 CLEMENTI AVENUE 1","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,2.15,"N",103.767880596839,1.31092821617913
"560","C20","BLK 449-451 CLEMENTI AVENUE 3","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,4.5,"N",103.765261746619,1.31334782082768
"561","C20M","BLK 462A CLEMENTI AVENUE 3","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",18,2.15,"N",103.765650777195,1.31150425544153
"562","C21L","BLK 454 TO 460 CLEMENTI AVENUE 3","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,0,"N",103.767041660449,1.31101493967165
"563","C21M","BLK 455A CLEMENTI AVENUE 3","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.766526732001,1.31166119443481
"564","C22M","BLK 109A CLEMENTI STREET 11","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,1.9,"N",103.770339933999,1.32165030417883
"565","C24","BLK 110/118 CLEMENTI STREET 13","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.771286676964,1.32419762068628
"566","C25","BLK 101-104 CLEMENTI STREET 14","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.768988922096,1.32235123649175
"567","C26","BLK 105-107 CLEMENTI STREET 12","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.3,"N",103.769929065203,1.32258776108661
"568","C27","BLK 108/109 CLEMENTI STREET 11","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.3,"N",103.77051277091,1.32224226281682
"569","C28","BLK 201/206 CLEMENTI AVENUE 6","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,2.1,"N",103.763334786019,1.32115797956657
"570","C28M","BLK 208 CLEMENTI AVENUE 6","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,2.15,"N",103.762071450678,1.32236174407855
"571","C29","BLK 501-505 WEST COAST DRIVE","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.759231789666,1.3126146115238
"572","C29A","BLK 503 WEST COAST DRIVE","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,2.15,"N",103.759184898969,1.31136093559312
"573","C3M","BLK 416A CLEMENTI AVENUE 1","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"N",103.770131034559,1.30981358763305
"574","C3ML","BLK 419, 420 AND 420A CLEMENTI AVENUE 1","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,0,"N",103.769092308276,1.3103927402801
"575","C30","BLK 507-509 WEST COAST DRIVE","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.761421070252,1.31145809738229
"576","C31","BLK 510/511 WEST COAST ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.76059908247,1.31056319446036
"577","C32","BLK 514-519 WEST COAST ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.759081213336,1.3086255588801
"578","C33","BLK 601-613 CLEMENTI WEST STREET 1","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.766857618002,1.30455943796698
"579","C34","BLK 702/703 WEST COAST ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","NO",0,4.5,"N",103.760936270153,1.3070103153064
"580","C35","BLK 704-714 CLEMENTI WEST STREET 2","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.761439225623,1.30561230241376
"581","C36","BLK 728/729 CLEMENTI WEST STREET 2","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,4.5,"N",103.763557421214,1.30530967452117
"582","C37","BLK 720-727,730-731 CLEMENTI WEST STREET 2","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,2.15,"N",103.76397169773,1.30353831712631
"583","C38","BLK 715-717 CLEMENTI WEST STREET 2","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.76252679036,1.30280666781867
"584","C39","CLEMENTI SPORTS COMPLEX","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.762239905373,1.31029120826452
"585","C4M","BLK 413A COMMONWEALTH AVENUE WEST","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",9,2,"N",103.770502512951,1.31148010869758
"586","C40L","BLK 801A TO 801C WEST COAST CRESCENT","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,0,"N",103.763888908143,1.30079089642823
"587","C40M","BLK 801 WEST COAST CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",5,2.15,"N",103.763910603403,1.29970909574827
"588","C41","CLEMENTI WOODS","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.768529294832,1.3001180488596
"589","C5","BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.769573948647,1.31310265905252
"590","C6","BLK 328-334 CLEMENTI AVENUE 2","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.767691165502,1.31448811391312
"591","C7","BLK 349-355 CLEMENTI AVENUE 2","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.770755008502,1.3148838722798
"592","C8","BLK 335/338 CLEMENTI AVENUE 2","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.768631103455,1.31667465678636
"593","C9","BLK 340/342/343/346-348 CLEMENTI AVENUE  5","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.770312349409,1.3176492492395
"594","DRM1","BLK 104C DEPOT ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",14,2.15,"N",103.811543491954,1.28051315604576
"595","DRM2","BLK 112C DEPOT ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",14,2.15,"N",103.807853080389,1.28129937570064
"596","DRM3","108A DEPOT ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2.15,"N",103.809867913107,1.28083837699379
"597","DRM4","BLK 105 DEPOT ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",3,2.15,"N",103.812365949738,1.28087065205459
"598","DRM5","BLOCK 110 DEPOT ROAD","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,2.15,"Y",103.809477383169,1.28133188255593
"599","DRS","BLK 102A/102B DEPOT ROAD","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,2.15,"N",103.8129928199,1.2804697558033
"600","DSRL","BLK 38A MARGARET DRIVE","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,0,"N",103.805148167926,1.29733462896489
"601","DSR1","BLK 31A MARGARET DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",16,2.15,"N",103.803537618992,1.29845599096421
"602","DSR2","BLK 37A MARGARET DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",21,2.15,"N",103.805330993,1.29789474296104
"603","DUXM","BLK 1 CANTONMENT ROAD","BASEMENT CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",3,2.1,"Y",103.841054070432,1.27697738131728
"604","DWSO","BLK 40 & 41 MARGARET DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",16,2.15,"N",103.806943259295,1.29646771808721
"605","DWSP","BLK 95A DAWSON ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.811934159724,1.29607321736465
"606","DWST","BLK 89A DAWSON ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",4,2.15,"N",103.811989733076,1.29518674501814
"607","DWSV","BLK 85 DAWSON ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",13,2.15,"N",103.809616856262,1.29530679539567
"608","DWVT","BLK 78A DAWSON ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",13,2.15,"N",103.810144507775,1.29422542784565
"609","ECM","BLK 31A EUNOS CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2.15,"N",103.901627136088,1.31999762790225
"610","ECML","BLK 34 TO 36, 37A TO 37C EUNOS CRESCENT/ EUNOS ROAD 2","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,0,"N",103.901537386037,1.32124909562705
"611","ECM2","BLK 39 EUNOS ROAD 2","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.900649696755,1.31981575455751
"612","EC2","BLK 12-25 EUNOS CRESCENT","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,5.4,"N",103.904442125181,1.32261572825632
"613","EC3","BLK 5-8/11/4A EUNOS CRESCENT","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,0,"N",103.904475815314,1.32115673411843
"614","EC4","BLK 1-3/1A EUNOS CRESCENT","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,0,"N",103.902692444353,1.3205164562707
"615","EC5","BLK 9-10 EUNOS CRESCENT","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","NO","NO",0,0,"N",103.90266515157,1.32203348873018
"616","EC7","BLK 842-848 SIMS AVENUE","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,4.5,"N",103.901625746783,1.31778370321916
"617","EC7T","BLK 842 TO 848 SIMS AVENUE","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","NO","NO",0,0,"N",103.901196528273,1.31839200655133
"618","EC8","BLK 2A EUNOS MRT SIMS AVENUE","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,0,"N",103.903208105127,1.31922686482179
"619","EI1","BLK 1001-1085 EUNOS INDUSTRIAL ESTATE","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,0,"N",103.896847001955,1.32343287474507
"620","EI3","BLK 410 TO 417 EUNOS ROAD 5","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,4.5,"N",103.898379671788,1.31884646728076
"621","EPL","BLK 1/7 EVERTON PARK","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO",0,4.5,"N",103.839912654039,1.27716355346546
